timestamp,iran_gold_18k,USD,EUR,AED,gold_ounce
2026/08/25 13:01:14,22150000,203060,237580,55200,4627
2026/08/25 13:01:58,22150000,203060,237570,55200,4625
2026/08/25 13:06:31,22150000,203060,237640,55200,4635
2026/08/25 13:07:31,22150000,203060,237660,55200,4634
2026/09/08 09:38:05,23070000,224800,258900,60700,4414
2026/09/08 09:46:06,23070000,224800,258900,60700,4411
2026/09/08 09:56:33,23040000,224800,258900,60700,4403
2026/09/08 10:00:50,23040000,224800,258900,60700,4401
2026/09/08 10:11:06,23040000,224800,258900,60700,4405
2026/09/08 10:16:41,23040000,224800,258900,60700,4407
2026/09/08 10:20:33,23080000,224800,258900,60700,4407
2026/09/08 10:24:51,23080000,224800,258900,60700,4404
2026/09/08 10:28:54,23150000,224800,258900,60700,4403
2026/09/08 10:32:45,23150000,224800,258900,60700,4402
2026/09/08 10:36:41,23150000,224800,258900,60700,4408
2026/09/08 10:40:39,23150000,224800,258900,60700,4408
2026/09/08 10:44:32,23150000,224800,258900,60700,4406
2026/09/08 10:48:40,23150000,224800,258900,60700,4402
2026/09/08 10:52:38,23180000,224800,258900,60700,4404
2026/09/08 10:56:32,23180000,224800,258900,60700,4401
2026/09/08 11:00:43,23180000,224800,258900,60700,4402
2026/09/08 11:04:31,23180000,223818,260100,60700,4403
2026/09/08 11:08:31,23250000,223762,260290,60700,4398
2026/09/08 11:12:36,23250000,223779,260250,60700,4395
2026/09/08 11:20:31,23250000,223820,260580,60700,4396
2026/09/08 11:24:31,23250000,223849,260540,60700,4392
2026/09/08 11:28:31,23250000,223849,260470,60700,4392
2026/09/08 11:32:31,23250000,223881,260220,60700,4391
2026/09/08 11:36:31,23250000,223863,260240,60700,4391
2026/09/08 11:40:32,23250000,223863,260270,60700,4391
2026/09/08 11:44:31,23250000,224016,260260,60700,4388
2026/09/08 11:48:33,23250000,224209,260600,60700,4390
2026/09/08 11:52:31,23310000,224209,260600,60700,4391
2026/09/08 11:56:31,23310000,224740,261080,60700,4395
2026/09/08 12:00:32,23310000,224805,261030,60700,4394
2026/09/08 12:04:31,23310000,224805,261130,60700,4396
2026/09/08 12:08:31,23310000,224908,261430,61300,4395
2026/09/08 12:12:31,23310000,225192,261770,61300,4394
2026/09/08 12:16:31,23400000,225192,261830,61400,4391
2026/09/08 12:20:31,23400000,225440,261680,61400,4391
2026/09/08 12:24:31,23330000,225384,261470,61300,4392
2026/09/08 12:28:31,23330000,225384,261430,61300,4393
2026/09/08 12:32:37,23330000,225302,261670,61300,4393
2026/09/08 12:36:31,23330000,225250,261840,61300,4395
2026/09/08 12:40:31,23330000,225250,261790,61300,4395
2026/09/08 12:44:31,23330000,225415,261840,61300,4396
2026/09/08 12:48:32,23400000,225793,261860,61300,4398
2026/09/08 12:52:32,23400000,225793,261850,61300,4395
2026/09/08 12:56:31,23400000,225822,261970,61300,4394
2026/09/08 13:00:31,23400000,226083,262210,61300,4394
2026/09/08 13:04:40,23400000,226161,262530,61300,4396
2026/09/08 13:08:32,23400000,226161,262550,61300,4396
2026/09/08 13:12:31,23400000,226147,262320,61300,4402
2026/09/08 13:16:31,23440000,226115,262590,61300,4401
2026/09/08 13:20:31,23440000,226115,262580,61300,4402
2026/09/08 13:24:31,23440000,226117,262630,61300,4404
2026/09/08 13:28:31,23440000,225978,262640,61300,4403
2026/09/08 13:32:31,23440000,225978,262490,61300,4402
2026/09/08 13:36:31,23440000,225966,262470,61300,4397
2026/09/08 13:40:31,23440000,226337,262380,61300,4397
2026/09/08 13:44:31,23440000,226337,262340,61300,4394
2026/09/08 13:48:31,23440000,226730,262340,61300,4397
2026/09/08 13:52:31,23440000,226730,262370,61300,4404
2026/09/08 13:56:31,23440000,226708,262550,61300,4400
2026/09/08 14:00:32,23410000,226823,262570,61800,4399
2026/09/08 14:04:32,23410000,226823,262320,61800,4398
2026/09/08 14:08:32,23410000,226841,262170,61800,4396
2026/09/08 14:12:32,23410000,226870,262530,61800,4395
2026/09/08 14:16:31,23410000,226870,262770,61800,4397
2026/09/08 14:20:31,23410000,226819,262750,61800,4400
2026/09/08 14:24:32,23410000,226741,262750,61800,4398
2026/09/08 14:28:32,23410000,226741,262780,61800,4399
2026/09/08 14:32:32,23410000,226633,263060,61800,4396
2026/09/08 14:36:32,23410000,226554,263020,61800,4396
2026/09/08 14:40:31,23410000,226554,263070,61800,4397
2026/09/08 14:44:31,23410000,226537,263060,61800,4391
2026/09/08 14:48:31,23410000,226662,263030,61800,4399
2026/09/08 14:52:31,23410000,226662,262990,62000,4399
2026/09/08 14:56:31,23410000,226503,263090,62000,4400
2026/09/08 15:00:31,23410000,226425,263060,62000,4401
2026/09/08 15:04:31,23410000,226425,263080,62000,4404
2026/09/08 15:08:31,23410000,226466,263140,62000,4407
2026/09/08 15:12:31,23410000,226644,262850,62000,4405
2026/09/08 15:16:31,23410000,226644,262940,62000,4403
2026/09/08 15:20:31,23410000,226663,262890,62000,4400
2026/09/08 15:24:31,23410000,226791,262910,62000,4399
2026/09/08 15:28:31,23410000,226791,262830,62000,4402
2026/09/08 15:32:32,23410000,226937,262780,62000,4405
2026/09/08 15:36:31,23410000,227172,262830,62000,4403
2026/09/08 15:40:31,23410000,227172,262830,62000,4403
2026/09/08 15:44:31,23410000,227170,262870,62000,4394
2026/09/08 15:48:31,23410000,227259,262830,62000,4390
2026/09/08 15:52:31,23410000,227259,263410,62000,4394
2026/09/08 15:56:32,23410000,227444,263670,62000,4394
2026/09/08 16:00:31,23410000,227590,263660,62000,4399
2026/09/08 16:04:31,23410000,227590,263900,62000,4406
2026/09/08 16:08:31,23410000,227499,264040,62000,4403
2026/09/08 16:12:31,23410000,227500,264040,62000,4398
2026/09/08 16:16:31,23410000,227500,264360,62000,4396
2026/09/08 16:20:32,23410000,227929,264290,62000,4401
2026/09/08 16:24:32,23410000,227869,264300,62000,4402
2026/09/08 16:28:31,23410000,226800,264310,62000,4404
2026/09/08 16:32:31,23410000,226800,264340,62000,4408
2026/09/08 16:36:31,23410000,226765,264350,62000,4406
2026/09/08 16:40:31,23410000,226810,264250,62000,4403
2026/09/08 16:44:31,23410000,226770,264410,62000,4406
2026/09/08 16:48:31,23410000,226800,264490,62000,4408
2026/09/08 16:52:31,23410000,226800,264490,62000,4405
2026/09/08 16:56:31,23410000,226800,264490,62000,4403
2026/09/08 17:00:31,23410000,226800,264450,62100,4400
2026/09/08 17:04:31,23610000,226790,264530,62100,4400
2026/09/08 17:08:31,23610000,226800,264490,62100,4397
2026/09/08 17:12:31,23610000,226815,264420,62100,4394
2026/09/08 17:16:31,23610000,226800,264400,62100,4397
2026/09/08 17:20:31,23610000,226800,264400,62100,4397
2026/09/08 17:24:31,23610000,226800,264400,62100,4397
2026/09/08 17:28:32,23550000,226800,264380,62100,4405
2026/09/08 17:32:32,23550000,226800,264400,62100,4399
2026/09/08 17:36:32,23550000,226795,264400,62100,4399
2026/09/08 17:40:31,23550000,226800,264410,62100,4398
2026/09/08 17:44:31,23550000,226570,264230,62100,4396
2026/09/08 17:48:31,23550000,226570,264270,62100,4398
2026/09/08 17:52:31,23550000,226595,264160,62100,4397
2026/09/08 17:56:31,23550000,226570,264150,62100,4402
2026/09/08 18:00:31,23550000,227000,264270,62100,4400
2026/09/08 18:04:31,23590000,228400,264310,62100,4397
2026/09/08 18:08:31,23590000,228400,264180,62100,4398
2026/09/08 18:12:31,23590000,228400,264250,62100,4394
2026/09/08 18:16:32,23590000,228400,264310,62100,4397
2026/09/08 18:20:32,23590000,228400,264280,62100,4393
2026/09/08 18:24:31,23590000,228400,264370,62100,4390
2026/09/08 18:28:32,23540000,228400,264390,62100,4394
2026/09/08 18:32:31,23540000,228400,264320,62100,4399
2026/09/08 18:36:37,23540000,228400,264240,62100,4404
2026/09/08 18:40:38,23540000,228400,264240,62100,4403
